LoggerLight version 1.3.0, 7/18/2018 9:17:42 AM, rapid sampling mode. Time is number of seconds past midnight of 7/18/2018, Warning: probe Edz305nm, calibrated 4/5/2012 This is identified by tag a
 Probe S/N  BIC2104P-1011   , calibrated 4/5/2012 with 2 picAD channels and 6 high resolution AD channels. This is identified by tag "a"
 Probe S/N  BIC2104R-1011   , calibrated 4/30/2018 with 2 picAD channels and 4 high resolution AD channels. This is identified by tag "b"
ScaleFactor,0.264714,0.069044,0.032916,0.000521,9.691656E-02,6.155094E-03,0.23,0.01,0.148964,5.208686E-02,2.334893E-02,5.0338E-04,0.23,0.01,
Offset+FO,0.1933315,0.1934529,0.1924036,0.1938019,0.4814327,5.549521E-02,0,0.965,0.1939131,0.1940993,0.1930202,0.1932678,0,0.965,
Units,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,°C,meters,v.,°C,µWatts/cm²/nm,µWatts/cm²/nm,µWatts/cm²/nm,µEinsteins/m²/s,v.,°C,
Immersion,0.623,0.635,0.641,0.662,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,
Cal Date,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/5/2012,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,4/30/2018,
Tag Address,a,a,a,a,a,a,a,a,b,b,b,b,b,b,
Time,Edz305nm,Edz320nm,Edz380nm,EdzPAR,WaterTemp,Depth,Vin_a,uItemp_a,Ed0305nm,Ed0320nm,Ed0380nm,Ed0PAR,Vin_b,uItemp_b,
33486.08,0.323842,5.64729,14.79301,206.759,23.33231,3.006817E-02,9.638247,18.73438,0.5699835,9.062243,20.58631,258.5024,9.595788,19.71094,
33486.37,0.3417921,5.955714,16.39764,237.5842,23.34058,5.243773E-02,9.638247,18.73438,0.5689812,9.059634,20.58342,259.0228,9.595788,19.71094,
33486.67,0.446292,7.071982,16.29385,217.8184,23.30599,3.205335E-02,9.638247,18.73438,0.5702716,9.067621,20.62961,260.1732,9.595788,19.71094,
33486.98,0.2728489,5.018452,14.8398,218.2435,23.35503,6.643081E-02,9.638247,18.73438,0.5692653,9.065292,20.6325,260.973,9.595788,19.71094,
33487.28,0.3347281,5.704838,15.58056,225.6305,23.36575,5.035571E-02,9.638247,18.73438,0.5695174,9.062192,20.63837,261.3365,9.595788,19.71094,
33487.58,0.3379357,5.54411,13.42493,180.0269,23.3522,4.396441E-02,9.638247,18.73438,0.5698855,9.072222,20.67442,262.3383,9.595788,19.71094,
33487.89,0.2726827,4.945256,14.07018,211.4207,23.36351,5.703753E-02,9.638247,18.73438,0.5699835,9.080604,20.68909,262.8516,9.595788,19.71094,
33488.21,0.3038752,5.314422,14.93882,218.3895,23.34605,9.083396E-02,9.638247,18.73438,0.5712759,9.084987,20.69637,262.9143,9.595788,19.71094,
33488.48,0.3477701,5.774356,14.5024,204.121,23.34042,4.991994E-02,9.638247,18.73438,0.5700976,9.073629,20.67592,263.4643,9.595788,19.71094,
33488.77,0.3207085,5.975121,15.35956,217.2187,23.35543,5.945848E-02,9.638247,18.73438,0.571488,9.072084,20.66803,263.3844,9.595788,19.71094,
33489.05,0.2998888,5.322776,14.74952,210.23,23.30794,6.124998E-02,9.638247,18.73438,0.5704756,9.082469,20.69184,263.8089,9.595788,19.71094,
33489.36,0.34378,5.848687,15.9669,237.2204,23.36321,4.754741E-02,9.638247,18.73438,0.5716701,9.091109,20.71898,264.4785,9.595788,19.71094,
33489.66,0.4286763,6.901915,16.49874,230.071,23.35152,5.374504E-02,9.638247,19.22266,0.5721282,9.102781,20.76723,265.826,9.595788,19.71094,
33489.95,0.2762915,5.051487,14.96772,229.0531,23.3708,6.192784E-02,9.638247,18.73438,0.5725323,9.107301,20.79557,267.0947,9.595788,19.71094,
33490.25,0.3251522,5.552152,15.242,222.6425,23.34467,7.224108E-02,9.617018,18.73438,0.571602,9.094158,20.75548,266.942,9.595788,19.71094,
33490.56,0.392207,6.327661,14.78028,198.9002,23.34436,3.350592E-02,9.638247,18.73438,0.5712059,9.093706,20.76858,267.1971,9.595788,19.71094,
33490.84,0.3172822,5.470725,14.40805,206.3114,23.34161,5.476184E-02,9.638247,18.73438,0.5731745,9.112891,20.83957,269.1,9.595788,19.71094,
33491.15,0.2890732,5.265827,15.95167,247.8175,23.38947,6.507508E-02,9.638247,18.73438,0.5726483,9.111329,20.82876,269.3664,9.595788,19.71094,
33491.45,0.4242832,6.812854,16.55386,233.3926,23.39306,1.747924E-02,9.638247,18.73438,0.5727844,9.108565,20.80876,268.7868,9.595788,19.71094,
33491.71,0.328779,5.67223,14.84305,211.5978,23.35903,6.023318E-02,9.638247,18.73438,0.574567,9.12937,20.87538,270.0526,9.595788,19.71094,
33492,0.3184207,5.501599,14.93201,221.597,23.36593,5.142093E-02,9.638247,18.73438,0.5761855,9.137774,20.90724,270.9182,9.595788,19.71094,
